#3,Observation,Not an observation,mech/seal leaking pump #3 mini
seized,Observation,Breakdown,osr pump has seized   pump is seized and needs replacing   $ discharge valve seized 5.03.2012 danie   cub discharge valve seized   discharge valve seized.   filtrate pump seized.   pump seized. inspect wet end build up   inspect seized pump   po b felewa seized   replace seized pump   remove seized gear box from suction   pump is seized   pump seized   32g 2a pump seized   $ cmf valve pump seized   $ osr pump barrel is seized (replace)   pump replace seized pump   send seized pump for osr   cub discharge valve sce seized   jdi pump seized.   $ pump seized after replacement today   pump is seized -   pump potentially seized.   pump seized and needs freeing up   discharge valve seized   pump shaft seized after mcc checks   res rinse pump seized   sce pump seized   dil solution underflow pump seized   pump seized. req inspection & repairs.   sump pump seized.   vac pump seized.   cub suction valve pump seized   suction adams valve seized   cub piping discharge valve seized   pump shaft seized inspect impellar   dc pump seized   sulphur pump seized.   pump has seized   seized   cub seized disharge valve   pump seized please change out   seized drain valve 24.01.2012 danny clar   motor seized   3-way discharge vv seized   cub suction valve piping seized   nash pump pump seized   check pump seized   weld replace seized valve piping   38t seized valve pump   sce replace seized discharge valve   $ sce res pump nrv seized   gearbox seized   lantern ring seized inside barrel   stroke adjuster seized   pump seized sump
seized breakdown,Observation,Breakdown,pump pump seized breakdown
seized open,Observation,Breakdown,suction valves seized open   valve pump seized open   cub suction valve seized open
seized shut,Observation,Breakdown,valve between & b seized shut   suction drain seized shut   cub discharge valve seized shut on piping
"seized,",Observation,Breakdown,"pump has seized, motor keeps on tripping   pump seized, please rectify."
seized/bogged,Observation,Breakdown,pump seized/bogged
seizes at time,Observation,Breakdown,pump seizes at times and wont pump.
self escape,Observation,Not an observation,pond ladder to platform self escape
sep clean,Observation,Not an observation,52w prod pit and oil sep clean
severe corrosion,Observation,Structural deficiency,pump receiver severe corrosion
severely corroded,Observation,Structural deficiency,pump & motor severely corroded maybe
shaking,Observation,Vibration,pump & pipework shaking badly
sheared,Observation,Structural deficiency,sump pump has sheared bolts on coupling   $ studs sheared on p/p base below barrel
sheared off,Observation,Structural deficiency,hold down bolts sheared off
sheered,Observation,Structural deficiency,piston end cap bolts sheered
short,Observation,Other,c feluwa garflex pipework short
shorted out,Observation,Electrical,pump motor shorted out
shorting out,Observation,Electrical,haz - light shorting out
showing,Observation,Not an observation,pump cable armour showing.   wtp sd armour showing isolator box cable   showing green on dcs
showing signs of failure,Observation,Other,pump noisy and showing signs of failure
shows offline while running in field,Observation,Abnormal instrument reading,dcs shows offline while running in field
shows run,Observation,Not an observation,floc pump motor shows run.
shredded,Observation,Structural deficiency,haz pump tyre shredded   pump packing shredded
shut work,Observation,Not an observation,upgrade nov shut works
siezed,Observation,Breakdown,pump pump siezed gland ring   gear box siezed.   st trap siezed   lmu valve on header siezed   discharge valve siezed on rundown   wash pump elect motor siezed   $$$ haz sump pump siezed   pump has siezed   discharge valve pump siezed   strainer handle siezed   pump appears to be siezed   inspect pump siezed   valve siezed   pump siezed   cam rollers siezed   pump not turning siezed   pump is noisey and siezed.   pump is siezed.   siezed   res valve siezed   cub suction valve siezed   discharge valve siezed   repair siezed pump and replace motor fan
siezed shut,Observation,Breakdown,38tkdischarge valve siezed shut
"siezed,",Observation,Breakdown,"pump is siezed, will not turn."
siezed-descale,Observation,Breakdown,pump siezed-descale
siezed/jammed,Observation,Breakdown,pump siezed/jammed
siezing on,Observation,Breakdown,$ pump siezing on start up
signal error,Observation,Abnormal instrument reading,jdi electrical vsd signal error
sitting on hot,Observation,Overheating,haz cable sitting on hot volute
slipped off,Observation,Minor in-service problems,belts have slipped off
slippery,Observation,Minor in-service problems,dc ladder rungs slippery
slipping,Observation,Minor in-service problems,motor drive belts slipping   v belts slipping   driv v belts slipping.   pump belt slipping / us   belts slipping
slow,Observation,Low output,slow oil leak
slurry,Observation,Not an observation,slurry coming from the rv   slurry pushing out breather on pump   slurry through gland
slurry spraying out,Observation,Leaking,slurry spraying out from gland repack   slurry spraying out from gasket   slurry spraying out of gland
smoke,Observation,Overheating,pump smoke from coupling
smoking,Observation,Overheating,pump not running and smoking   haz flexible drive coupling smoking   seal blown out pump smoking
smoking hot,Observation,Overheating,smoking hot and noisy
smoking up,Observation,Overheating,dillute solution pump smoking up
snaped,Observation,Structural deficiency,drive belts snaped
snaped off,Observation,Structural deficiency,pump not pumping drive belts snaped off
snapped,Observation,Structural deficiency,replace 1 snapped volute stud   pump shaft has snapped at mech seal...   strainer lock bolt snapped   drive belts snapped   snapped discharge spool   shaft snapped   snapped belt on vacuum pump   north accumeulator air line snapped   haz earth lead lug snapped   sce gearbox snapped   $ pump shaft snapped   dual basket strainer stem snapped   has a snapped shaft   valve wheel handle pin snapped   south piston rod snapped
snapped off,Observation,Structural deficiency,suction valve handle snapped off   piston rod snapped off   motor drive belts worn out & snapped off   screw has snapped off and is leaking   earthing cable has snapped off.
snapped/plugged,Observation,Structural deficiency,suction drain valve snapped/plugged
sound,Observation,Noise,$rumbling sound from pump bearings
sparaying,Observation,Leaking,haz hot liquor sparaying from gland
sparky,Observation,Not an observation,constant tripping req sparky
spaying slurry,Observation,Leaking,gland spaying slurry
sped up,Observation,Other,vsd sped up
spill to ground,Observation,Electrical,env pump seal failure spill to ground
spillage,Observation,Leaking,environmental versicol spillage
spilled,Observation,Leaking,spilled oil/lube everywhere
spilling,Observation,Leaking,conductivity line spilling   water conductivity line spilling
split,Observation,Structural deficiency,instrument piping split   discharge mining hose split   discharge polly line split.   discharge garflex hose split   seal water line split
split in two place,Observation,Structural deficiency,scope haz earth cable split in two place
spool,Observation,Not an observation,cub te/sd repair corrosion inside spool
spraying,Observation,Leaking,haz gland spraying water from gland   haz pump spraying liqour out on road   mfl liquor spraying from impellor housin   haz-process liquor spraying on road   haz acid spraying from seal   motor spraying water   haz spraying liquor from garflex   haz gasket spraying hot liquid   mech seal spraying water   haz pump spraying water onto floor   seal spraying when online   haz mech seal spraying   seal water spraying from seal   seals as spraying liquor badly   spraying gland water
spraying out,Observation,Leaking,pump spraying out from base   spool cracked and spraying out   the pump was spraying out water   pump packing spraying out liquor   haz hot cond spraying out   process spraying out from gland packing
spraying out of,Observation,Leaking,liquor spraying out of body
spraying out slurry,Observation,Leaking,gland spraying out slurry
squealing,Observation,Noise,tesd pump drive belts squealing
squeeling,Observation,Noise,te sd motor belts squeeling.
start,Observation,Not an observation,"motors stopped, won't start."
started,Observation,Not an observation,pump started but no indication
starting,Observation,Not an observation,pump stop / starting continuously.
starting issue,Observation,Failure to start on demand,jdi diesel pump starting issues
starting to crack,Observation,Structural deficiency,haz local isolator lid starting to crack
static,Observation,Electrical,pump static earth install   repair static earth motor skid   replace static earth unit
static earth resistance,Observation,Electrical,high static earth resistance
sticking,Observation,Other,instru is sticking badly
sticking out of ground,Observation,Other,bolts sticking out of ground
sticking shu,Observation,Other,sce common supply valve sticking shu
stiff,Observation,Other,$ haz valve stiff piping to c rft
stiff to turn,Observation,Other,pump stiff to turn by hand
stolen,Observation,Other,earth stake and cable stolen
stop,Observation,Not an observation,pump runs continuously /won't stop   pump intermittently stops
stopped,Observation,Spurious stop,stopped pumping   pump stopped and will not restart   stopped pumping?   investigate pump stopped   pump stopped pumping
stopped abruptly,Observation,Spurious stop,investigate why pump stopped abruptly
stopped communicatiing,Observation,Spurious stop,pump stopped communicatiing with dcs
stopped pumping,Observation,Spurious stop,sce pump stopped pumping
stopped working,Observation,Spurious stop,effluent pump stopped working
"stopped,",Observation,Spurious stop,"motors stopped, won't start."
stopping,Observation,Spurious stop,inv pump stopping the larox cycles   investigate pump stopping   feluwa pump stopping won't run
stopping randomly,Observation,Spurious stop,cfl pump stopping randomly
stops during operation,Observation,Spurious stop,motor stops during operation
storm,Observation,Not an observation,storm water pump separation pit stores
strainer,Observation,Not an observation,piping d/c spool hole post strainer
stretched,Observation,Minor in-service problems,possible stretched hose
stripped,Observation,Structural deficiency,repair stripped thread nrth seal carrier   mounting bolt stripped.
stroking/working p,Observation,Not an observation,$bottom leg valve not stroking/working p
struggling,Observation,Low output,pump struggling to keep up 02817g
stuck,Observation,Other,metalic object stuck in suction
stuck in,Observation,Other,stop button stuck in..   jdi start button stuck in.
stuck in open position,Observation,Other,suction vlave stuck in open position
sucked in,Observation,Other,hose has been sucked in
suction,Observation,Not an observation,"?32g-1a blocked & holed suction leg   sump ,leaking suction line gasket"
sulphur,Observation,Not an observation,sulphur bredel hose
support,Observation,Not an observation,haz. piping pipe has no support
surging,Observation,Electrical,pump is surging and tripping
surging cutting in and out,Observation,Electrical,surging cutting in and out
suspect,Observation,Not an observation,wtp/sd pump low amps -suspect im
suspected,Observation,Not an observation,suspected blow hose- not pumping   suspected west chamber diaphragm / hose   suspected damaged impeller   suspected steam leak impeller   suspected blown breedle 'sausage'   suspected holed diaphragm   suspected diaphragm(rsh)
swa showing,Observation,Not an observation,field isolator box cables swa showing
swarming,Observation,Not an observation,haz pump bees swarming around c/t sump
switched o,Observation,Spurious stop,rsh pump breaker trips when switched o
taken,Observation,Not an observation,26w oil change pump oil sample taken
tank,Observation,Not an observation,clean/paint diesel tank.
temp,Observation,Not an observation,trial temp monitoring chambers a feluwa
tensioned,Observation,Not an observation,v-belts to be checked and tensioned
threaded,Observation,Not an observation,etu strainer nut and bolt threaded
thrown,Observation,Not an observation,thrown belt   belts thrown on pump   thrown belts   pump has thrown belts   thrown belts on sump pump   jdi thrown a belt   haz residue recirc line thrown bolts   belts thrown
tie-in,Observation,Not an observation,proj cuboil pump ? pgm cfl line tie-ins   proj cuboil pump ? centrifuge tie-ins   cub proj pump - fto piping tie-ins
tightening,Observation,Not an observation,te sd motor recirc belt tightening
to,Observation,Not an observation,"$4g-2a nrv needs to be replaced   $pump need to be replaced   blown tube, leak to gearbox   env: effluent sump overflowed to s/w"
to be,Observation,Not an observation,white phase light to be repaired motor   suction garflex to be replaced
to be filtered,Observation,Not an observation,gearbox oil to be filtered
to be not lifting,Observation,Not an observation,"replace rv, suspected to be not lifting"
to be removed,Observation,Breakdown,pump to be removed -
to be torqued,Observation,Minor in-service problems,north piston rod hydra nut to be torqued
to open surface,Observation,Not an observation,env- pit overflowed to open surface
to operate,Observation,Not an observation,haz- valve difficult to operate
to short,Observation,Not an observation,adjustable pipe suport to short
too fast,Observation,High output,pump too fast
too high,Observation,High output,pump set too high and motor trips out
too much load put on,Observation,Other,rv lifting when too much load put on
top,Observation,Not an observation,$$ haz-:leaking valve body top of piping
torn,Observation,Structural deficiency,torn coupling
trickled over,Observation,Not an observation,jdi env seepage trickled over
tried,Observation,Not an observation,$ motor tripping out tried
triped,Observation,Electrical,pump triped on high amps motor hot
tripped,Observation,Electrical,"both nahs pumps tripped   pump has tripped   elec elcb tripped   electrical elcb tripped   pump tripped   sump pump tripped   pump tripped - needs reset   nft underflow pump tripped in sub, reset   tripped on thermal o/l please check   pump tripped on oil -cont   tripped and will not start from pc   jdi inspect bore tripped a few times   pump tripped and then power.   vsd tripped will not reset   drive tripped will not reset   versicol pump tripped   electrical tripped   tripped unable to reset   - tripped"
tripped out,Observation,Electrical,pump tripped out   tripped out
tripping,Observation,Electrical,"motor tripping after 2 min run.   investigate pump high amps and tripping   pump tripping on west chamber oil alarm   blown hose tripping on oil contamination   vsd tripping on sce overload fault   tripping on oil contamination   jdi pump tripping on high amps   tripping on low flow   investigate why pump tripping   tripping on thermal overload   pump tripping on high amps   pump tripping shortly after startup   tripping on high amps   $ motor tripping .replace motor/pump.   pump tripping high amps   pump tripping and will not pump   tripping after start up   pump wont run, keeps tripping   pump is surging and tripping   anytime investigate frequently tripping   nft pump tripping   permeate pump high amps tripping   a felewa tripping on res flush   motor tripping   stop button broken pump tripping   pump has an electrical tripping is   inspect pump and motor tripping   pump tripping main circuit breaker.   investigate motor tripping on overload   tripping on overload   pump tripping earth leakage   pump tripping on low suction pressur   pump tripping ,becomes healthy   a feluwa tripping every 2 hrs   pump is tripping and also the local stop   pump kept on tripping   pump tripping on high amp,s - noisy   both nash pumps tripping in auto   tripping for unknown reason   $$ dpr 4 tripping on overload mech prob   feluwa tripping oil cont   $ pump tripping on high torque   tripping on contamination alarms   instru tripping intermitently   unable to start pump tripping   tripping on low flow, suspect strainer   investigate pump tripping for no reason   tripping oil contamination   tripping   replace motor as tripping   pump tripping   caustic bund pump tripping   investigate pump tripping on overload   pump tripping - vsd fault"
tripping cause,Observation,Electrical,investigate tripping cause
tripping in,Observation,Electrical,pump has failed & is tripping in the sub
tripping instantly,Observation,Electrical,pump tripping instantly
tripping issue,Observation,Electrical,investigate tripping issue
tripping on,Observation,Electrical,tripping on start up   pump tripping on oil contamination   please delete 38 tank pump tripping on o   pump is tripping on high amps
tripping on overload,Observation,Electrical,haz pump is tripping on overload   top ten - tripping on overload   pump tripping on overload
tripping out,Observation,Electrical,pumps tripping out bad qual   $ motor tripping out tried   tripping out on start up   motor mtr tripping out   tripping out   motor tripping out   pump tripping out   $ pump tripping out on high amps.
tripping out on run up,Observation,Electrical,2c pump tripping out on run up.
tripping straight away,Observation,Electrical,pump tripping straight away
"tripping,",Observation,Electrical,"pump tripping, cahnge vsd"
"tripping,faulting",Observation,Electrical,"pump tripping,faulting"
"tripping,not turning over",Observation,Electrical,"motor tripping,not turning over pump"
trips on overload,Observation,Electrical,noise from pump trips on overload
trips out,Observation,Electrical,pump set too high and motor trips out   $ pump seal leaking and motor trips out
trown,Observation,Not an observation,has trown its belts
turning,Observation,Other,7b turning but collar not spinning   motor is turning but punp is not   $pump not turning
turning in reverse,Observation,Other,jdi pump turning in reverse
turning when,Observation,Other,$pump not turning when started - vsd ret
twisted,Observation,Other,suction valve stem twisted   fac person twisted right knee
twisting,Observation,Other,valve stem twisting (s-1438)
u,Observation,Not an observation,dilution flow meter us   jdi discharge line gauge us   pump us in remote   pump seal us   cooling water return pressure guage us   pump belt slipping / us
u',Observation,Not an observation,pump drive shaft seal u's
u/,Observation,Not an observation,res rinse pump disch valve u/s.   res pump seal u/s.   pump coupling u/s.   pressure switch u/s.   dc pump top cooling fans to cabinets u/
u/f,Observation,Not an observation,u/f bredel not turning   effluent u/f pump gear box   u/f pump blockage   cu u/f blown bredel   cu u/f pump tripping out
u/f: blown,Observation,Not an observation,wash u/f: blown bredel hose
"u/s,liner",Observation,Breakdown,"pump u/s,liner holed"
u/s.versicol,Observation,Breakdown,pump run light u/s.versicol t/fer pum
u/s?,Observation,Breakdown,investigate and rectify pump u/s?
un,Observation,Not an observation,78w elec svce motor & mcc sulphur un
unable,Observation,Not an observation,unable to start pump tripping   unable to read gauge 11.01.2013 christop
unable to,Observation,Not an observation,haz unable to clean inline strainer
unable to get,Observation,Not an observation,unable to get pump to pump
unable to get running,Observation,Failure to start on demand,unable to get running
unable to increase,Observation,Low output,pump unable to increase level
unable to pump,Observation,Low output,pump unable to pump more than 8lpm
unable to reach,Observation,Other,unable to reach operational flow
unable to reset,Observation,Failure to stop on demand,tripped unable to reset
unable to run,Observation,Failure to start on demand,32g 2a unable to run in auto
unable to shu,Observation,Failure to stop on demand,valve suction valve unable to shu
unable to tighten,Observation,Minor in-service problems,replace coupling guard unable to tighten
underperforming,Observation,Low output,nahs pumps underperforming
unit,Observation,Not an observation,remove/replace failed vsd unit
unknown reason,Observation,Not an observation,tripping for unknown reason
unresponsive,Observation,Failure to start on demand,unresponsive in auto
unsealed ground,Observation,Not an observation,env water to unsealed ground   env water of unsealed ground
unsecure,Observation,Minor in-service problems,piping discharge pipe unsecure
unserviceable,Observation,Breakdown,"condy pump seal is u/s   pump seal u/s   south chambers u/s   res flush valve actuator u/s   machanical seal u/s   pump discharge valve u/s   bm 2 versicol pump u/s   sce discharge pressure gauge u/s   haz acid pump perspex cover u/s   motor feet u/s   suction isolation valve u/s   jdi sce suction drain corroded u/s   pump discharge drain spool u/s 23.08.201   cooling water return press guage u/s   gr versicol flow meter to claves u/s   small straghman drain piping u/s   discharge proxy switch u/s   seal water make-up u/s   $ pump motor u/s   pump u/s & motor needs checking   suction pipework gasket u/s   drive coupling u/s   haz - pump cuboil sump level probe u/s   cw flow indicator u/s   electrical wh phase light u/s   elec raw water u/s   shaft seal u/s   floc pump u/s   dto suction side valve u/s   cub valve sce u/s   gearbox u/s   romtek battery u/s   pressure switch low u/s   haz wld motor fan cover u/s   drive belts u/s   b feluwa booster seal u/s   change pump as it has a u/s suction pipe   pump vbelts,seal,non return u/s   pump electricals and valves u/s   dc rw emergency backup solenoid u/s   mechanical seal u/s   mech seal u/s   dc pressure switch low u/s   nahs pump u/s   discharge valves u/s   $ pump seal u/s needs repacking   sample valve @ piping u/s   pump balance local gauge u/s   pump disconnected from coupling - u/s   flow meter on the old dto line u/s   u/s repair   jdi sce discharge gauge u/s   pump bearings u/s   bearing u/s   $$ neutralisation pump u/s   transfer pump u/s   pump u/s needs repair   pressure switch u/s   oil seperator pump u/s   cub pump motor jacking points u/s   pump u/s   nuci pump seal u/s   c feluwa cwr presure gauge u/s   versicol pump u/s   bearings on rollers u/s   u/s   haz res valve to final sce u/s   gland packing u/s   04008 flow meter u/s   pump u/s gearbox, bearings   haz repair u/s remote function   suction drain u/s needs replacing   top drain on suction line u/s pump   $ mechanical seal passing u/s   acid pump u/s   piping discharge garflex coupling u/s   flush valve piping u/s   u/s inspect repair   sump pump u/s   pump and belts u/s   steel braided line attached to seal u/s   coupling u/s   cet 4 unit u/s   sce replace motor de bearing u/s   nrv and pump housing u/s 10b   drain valve u/s spindle broken   change u/s diaphragm/hose nth chambers   low flow sensor u/s   a feluwa south disch accum air gauge u/s   purge water pressure gauge u/s   sce gbox u/s   mechanical seal u/s on pump   cooling zone temp probe u/s   38t pump seal u/s   bottom purge elut leg positioner u/s   $$ pump u/s   gland seal u/s requires replacing   $$ pump u/s send for osr   discharge garflex u/s   condy pump seal u/s   pressure guage to accumulators u/s   suction adams valve u/s   $ discharge valve u/s   dir non return valve u/s"
unserviceable and line,Observation,Breakdown,haz-env pump u/s and lines blocked
unserviceable b feluwa,Observation,Breakdown,suction pressure gauge u/s b feluwa
unserviceable dpr 1,Observation,Breakdown,$$ pump u/s dpr 1
unserviceable leak sulphur,Observation,Breakdown,haz pump seal u/s leaking sulphur
unserviceable no contol,Observation,Breakdown,level switches are u/s no contol
unserviceable not in,Observation,Breakdown,tyre coupling u/s not in properly
unserviceable please replace,Observation,Breakdown,pump u/s please replace
unserviceable pump,Observation,Breakdown,cub sump red phase light u/s pump
unserviceable su,Observation,Breakdown,east leach sump floats u/s su
unsupported,Observation,Minor in-service problems,wld pump dischange spool unsupported 15.
up,Observation,Not an observation,ups drawings to be marked up
used,Observation,Not an observation,incorrect seal water supply used
using,Observation,Not an observation,"sce nde bearing using oil   using oil needs seals   using oil, suspect diaphragm   pump low flow , using oil   pump using oil   a feluwa south chambers using oil   using a large amount of oil."
v/v,Observation,Not an observation,suction ball v/v and door leak
valve,Observation,Not an observation,bc s/d replace leaking suction valve   $ bc sd pump. failed valve and g/   wtps/d haz.disch line leaking from valve
very corroded,Observation,Structural deficiency,pipework is very corroded
very high vibration,Observation,Vibration,cm-d2g1a very high vibrations after cub
very stiff to operate,Observation,Other,sce valve very stiff to operate
"very tight,",Observation,Other,"valve very tight, needs replacing"
viberating,Observation,Vibration,pump labouring and viberating
vibrating,Observation,Vibration,wtp sd fix vibrating base   vibrating and not pumping   motor vibrating   vibrating   nf feed pump vibrating   pump pump 15a is vibrating   pump vibrating   pump vibrating and noisy
"vibrating,",Observation,Vibration,"motor vibrating, inspect/replace"
vibration,Observation,Vibration,vibration   vibration check / housekeeping   pump noisy & vibration   high vibration   investigate motor vibration   cm internal pump vibration   high vibration from motor-pump   repair pump vibration   pump noisey & high vibration   pump has vibration.   pump. high vibration   high vibration at pump   large vibration - remove and osr   investigate high vibration   38 tank wld repair has vibration   cm vibration at motor   high vibration from motor
vibration issue,Observation,Vibration,investigate vibration issues
"vibration,",Observation,Vibration,"high vibration, replace motor   high vibration, realign unit"
vibration/check,Observation,Vibration,high vibration/check alignment
vibration/laser,Observation,Vibration,investigate vibration/laser align sce
vibration/lube/alignment,Observation,Vibration,repair vibration/lube/alignment pump
visual,Observation,Not an observation,visual inspection of motor
volute,Observation,Not an observation,$failed bellow and worn volute
vsd,Observation,Not an observation,$dpr 1 microdrive problem rsh no vsd
vv passing,Observation,Not an observation,piping suction dump vv passing
wants to,Observation,Not an observation,pump wants to but won't turn
water,Observation,Not an observation,?replace failed water pipe to ato pumps   $$pump flange leaking water   pump. balance line leaks water.
weak,Observation,Other,pump leaks weak aqua from gland
weaping,Observation,Leaking,discharge pipework gasket weaping
weeping,Observation,Leaking,mechanical seal weeping pump   $ small straughman drain weeping   garflex weeping product
weld,Observation,Not an observation,pump. crack in ss line needs weld
weld bracing,Observation,Not an observation,pump base weld bracing in situ
welded,Observation,Not an observation,piping needs new stub welded
wet,Observation,Leaking,"damaged hose, corroded wet end"
white,Observation,Not an observation,repair white and blue phase lamps electrical
white out,Observation,Not an observation,fault reading white out on pump   white out on amp meter dcs......
will not fully close,Observation,Other,c feluwa knife will not fully close
"will not move,",Observation,Breakdown,"pump will not move, seized"
will not pump,Observation,Breakdown,sump pump will not pump   pump tripping and will not pump   new pump will not pump   will not pump   pump will not pump   pump will not pump to capacity
will not reset,Observation,Failure to start on demand,vsd tripped will not reset   drive tripped will not reset
will not restart,Observation,Failure to start on demand,pump stopped and will not restart
will not run,Observation,Breakdown,pump will not run   check why it will not run (stop on o/l)   pump will not run and shows ready light
will not run in,Observation,Breakdown,pump will not run in remote   pump will not run in local or remote
will not show,Observation,Not an observation,sump will not show ready light/start
will not shut,Observation,Other,cub knife gate suction will not shut
will not start,Observation,Failure to start on demand,pump will not start   motor will not start   tripped and will not start from pc   check repair will not start   check why pumps will not start   bore 7 will not start at dcs com failure
will not start after flushing,Observation,Failure to start on demand,pump will not start after flushing
will not start in,Observation,Failure to start on demand,investigate sump pump will not start in   investigate dpr 2 pump will not start in
will not stay running,Observation,Spurious stop,pump will not stay running
will not trip,Observation,Electrical,will not trip on el test
will not turn,Observation,Other,pump will not turn.   pump will not turn. open up inspect
"will not turn,motor tripping",Observation,Electrical,"pump will not turn,motor tripping"
wld,Observation,Not an observation,haz wld- electric box support broken   a feluwa g/box pulley needs moved wld
wo st,Observation,Not an observation,elec svce motor & mcc wo st
won bolt,Observation,Not an observation,cm tighten hold won bolts and realign
won't open,Observation,Other,event valve wont open on new line
won't pump,Observation,Breakdown,pump seizes at times and wont pump.   bredel won't pump   event pump wont pump
won't pump floc,Observation,Breakdown,pump won't pump floc
won't pump to,Observation,Breakdown,pump won't pump to capacity   won't pump to capacity
won't reset,Observation,Failure to start on demand,vsds wont reset on 30 pumps   sump mcb won't reset
won't rotate,Observation,Failure to start on demand,inspect why pump won't rotate
won't run,Observation,Failure to start on demand,wont run in auto   wont run in auto.   feluwa pump stopping won't run   diaphragm leakage wont run
won't run and,Observation,Failure to start on demand,seeding pump won't run and line blocked
won't run in,Observation,Failure to start on demand,won't run in local   pump wont run in local
"won't run,",Observation,Failure to start on demand,"pump wont run, keeps tripping"
won't start,Observation,Failure to start on demand,fault find why pump wont start   nahs pumps won't start   pump wont start   pump wont start in remote   96a versicol pump wont start / reset.   mcc fault wont start   sump pump motor won't start   motor wont start. no ready light   wont start   pump is bogged and wont start
won't turn,Observation,Failure to start on demand,pump won't turn   pump wont turn   pump wants to but won't turn   please inspect and it wont turn
won't work,Observation,Failure to start on demand,pump wont work on auto
work,Observation,Not an observation,cub pump pipe work   wld sce pump. base needs work.   haz - secure discharge pipe work   clean suction pipe work
work to be comple,Observation,Not an observation,build scaffold for work to be comple
working,Observation,Not an observation,env- motor to sump p stopped working   haz: psl not working
worn,Observation,Structural deficiency,impellor worn with 38 tk descale   replace worn hose on pump   jdi replace worn air line   scope worn pulleys   worn shaft seal area   gland worn   loose belts and gland seal worn   replace worn pulleys on   booster flow gauge worn   motor pulley worn   pump booster pump gauge worn   shaft worn   belts worn replace   jdi pump worn v/belts   fc 04338 inside worn   rubber worn in bowl   replace impellor worn excessively   change out worn pump   replace worn coupling and align   res pump to 38tk worn   drive belts and pullies worn   sd drive pulley worn   pump bearing worn on wet end   replace worn belts on pump   replace worn coupling sce   worn belts   38t 4-g22 motor pulley is worn.   north shaft seals worn   replace c feluwa motor pulley worn   cub worn pipework mill 2 water add   worn seal water supply hose   replace worn pump casing   change out worn drive pulley.   jdi replace worn flush valves pump
worn again,Observation,Structural deficiency,seal worn again
worn out,Observation,Structural deficiency,gearbox teeth worn out   motor drive belts worn out & snapped off   belts noisy and drive pulley worn out   gland packing seal worn out leaking slur   pump gland worn out   leach residue sump pump worn out
worn through,Observation,Structural deficiency,motor cable worn through
worn/,Observation,Structural deficiency,replace worn/ corroded bolts
worn/belt,Observation,Structural deficiency,pulleys worn/belts squealing
worn/blocked,Observation,Structural deficiency,pump worn/blocked.
wrong,Observation,Not an observation,als report - wrong oil - change oil
wrong range,Observation,Abnormal instrument reading,suction press gauge is wrong range
wrong type,Observation,Not an observation,discharge press gauge wrong type
